"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US26055","Grand Traverse County, Michigan","93088","*****","*****","null",
"0500000US26065","Ingham County, Michigan","292406","*****","*****","null",
"0500000US26073","Isabella County, Michigan","69872","*****","*****","null",
"0500000US26075","Jackson County, Michigan","158510","*****","*****","null",
"0500000US26077","Kalamazoo County, Michigan","265066","*****","*****","null",
"0500000US26081","Kent County, Michigan","656955","*****","*****","null",
"0500000US26087","Lapeer County, Michigan","87607","*****","*****","null",
"0500000US26091","Lenawee County, Michigan","98451","*****","*****","null",
"0500000US26093","Livingston County, Michigan","191995","*****","*****","null",
"0500000US26099","Macomb County, Michigan","873972","*****","*****","null",
"0500000US26103","Marquette County, Michigan","66699","*****","*****","null",
"0500000US26111","Midland County, Michigan","83156","*****","*****","null",
"0500000US26115","Monroe County, Michigan","150500","*****","*****","null",
"0500000US26121","Muskegon County, Michigan","173566","*****","*****","null",
"0500000US26125","Oakland County, Michigan","1257584","*****","*****","null",
"0500000US26139","Ottawa County, Michigan","291830","*****","*****","null",
"0500000US26145","Saginaw County, Michigan","190539","*****","*****","null",
"0500000US26147","St. Clair County, Michigan","159128","*****","*****","null",
"0500000US26155","Shiawassee County, Michigan","68122","*****","*****","null",
"0500000US26159","Van Buren County, Michigan","75677","*****","*****","null",
"0500000US26161","Washtenaw County, Michigan","367601","*****","*****","null",
"0500000US26163","Wayne County, Michigan","1749343","*****","*****","null",
"0500000US27003","Anoka County, Minnesota","356921","*****","*****","null",
"0500000US27013","Blue Earth County, Minnesota","67653","*****","*****","null",
"0500000US27019","Carver County, Minnesota","105089","*****","*****","null",
"0500000US27035","Crow Wing County, Minnesota","65055","*****","*****","null",
"0500000US27037","Dakota County, Minnesota","429021","*****","*****","null",
"0500000US27053","Hennepin County, Minnesota","1265843","*****","*****","null",
"0500000US27109","Olmsted County, Minnesota","158293","*****","*****","null",
"0500000US27123","Ramsey County, Minnesota","550321","*****","*****","null",
"0500000US27131","Rice County, Minnesota","66972","*****","*****","null",
"0500000US27137","St. Louis County, Minnesota","199070","*****","*****","null",
"0500000US27139","Scott County, Minnesota","149013","*****","*****","null",
"0500000US27141","Sherburne County, Minnesota","97238","*****","*****","null",
"0500000US27145","Stearns County, Minnesota","161075","*****","*****","null",
"0500000US27163","Washington County, Minnesota","262440","*****","*****","null",
"0500000US27171","Wright County, Minnesota","138377","*****","*****","null",
"0500000US28033","DeSoto County, Mississippi","184945","*****","*****","null",
"0500000US28035","Forrest County, Mississippi","74897","*****","*****","null",
"0500000US28047","Harrison County, Mississippi","208080","*****","*****","null",
"0500000US28049","Hinds County, Mississippi","231840","*****","*****","null",
"0500000US28059","Jackson County, Mississippi","143617","*****","*****","null",
"0500000US28067","Jones County, Mississippi","68098","*****","*****","null",
"0500000US28075","Lauderdale County, Mississippi","74125","*****","*****","null",
"0500000US28081","Lee County, Mississippi","85436","*****","*****","null",
"0500000US28089","Madison County, Mississippi","106272","*****","*****","null",
"0500000US28121","Rankin County, Mississippi","155271","*****","*****","null",
"0500000US29019","Boone County, Missouri","180463","*****","*****","null",
"0500000US29021","Buchanan County, Missouri","87364","*****","*****","null",
"0500000US29031","Cape Girardeau County, Missouri","78871","*****","*****","null",
"0500000US29037","Cass County, Missouri","105780","*****","*****","null",
"0500000US29043","Christian County, Missouri","88595","*****","*****","null",
"0500000US29047","Clay County, Missouri","249948","*****","*****","null",
"0500000US29051","Cole County, Missouri","76745","*****","*****","null",
"0500000US29071","Franklin County, Missouri","103967","*****","*****","null",
"0500000US29077","Greene County, Missouri","293086","*****","*****","null",
"0500000US29095","Jackson County, Missouri","703011","*****","*****","null",
"0500000US29097","Jasper County, Missouri","121328","*****","*****","null",
"0500000US29099","Jefferson County, Missouri","225081","*****","*****","null",
"0500000US29165","Platte County, Missouri","104418","*****","*****","null",
"0500000US29183","St. Charles County, Missouri","402022","*****","*****","null",
"0500000US29187","St. Francois County, Missouri","67215","*****","*****","null",
"0500000US29189","St. Louis County, Missouri","994205","*****","*****","null",
"0500000US29510","St. Louis city, Missouri","300576","*****","*****","null",
"0500000US30013","Cascade County, Montana","81366","*****","*****","null",
"0500000US30029","Flathead County, Montana","103806","*****","*****","null",
"0500000US30031","Gallatin County, Montana","114434","*****","*****","null",
"0500000US30049","Lewis and Clark County, Montana","69432","*****","*****","null",
"0500000US30063","Missoula County, Montana","119600","*****","*****","null",
"0500000US30111","Yellowstone County, Montana","161300","*****","*****","null",
"0500000US31055","Douglas County, Nebraska","571327","*****","*****","null",
"0500000US31109","Lancaster County, Nebraska","319090","*****","*****","null",
"0500000US31153","Sarpy County, Nebraska","187196","*****","*****","null",
"0500000US32003","Clark County, Nevada","2266715","*****","*****","null",
"0500000US32031","Washoe County, Nevada","471519","*****","*****","null",
"0500000US33005","Cheshire County, New Hampshire","76085","*****","*****","null",
"0500000US33009","Grafton County, New Hampshire","89886","*****","*****","null",
"0500000US33011","Hillsborough County, New Hampshire","417025","*****","*****","null",
"0500000US33013","Merrimack County, New Hampshire","151391","*****","*****","null",
"0500000US33015","Rockingham County, New Hampshire","309769","*****","*****","null",
"0500000US33017","Strafford County, New Hampshire","130633","*****","*****","null",
"0500000US34001","Atlantic County, New Jersey","263670","*****","*****","null",
"0500000US34003","Bergen County, New Jersey","932202","*****","*****","null",
"0500000US34005","Burlington County, New Jersey","445349","*****","*****","null",
"0500000US34007","Camden County, New Jersey","506471","*****","*****","null",
"0500000US34009","Cape May County, New Jersey","92039","*****","*****","null",
"0500000US34011","Cumberland County, New Jersey","149527","*****","*****","null",
"0500000US34013","Essex County, New Jersey","798975","*****","*****","null",
"0500000US34015","Gloucester County, New Jersey","291636","*****","*****","null",
